-0.22462	 47.37156
-0.26462	 47.37156
-0.27054	 47.38097
-0.27783	 47.39080
-0.30161	 47.40358
-0.34349	 47.41037
-0.38581	 47.41560
-0.41448	 47.41758
-0.45267	 47.41560
-0.46803	 47.41700
-0.51189	 47.41984
-0.52889	 47.42240
-0.53696	 47.42466
-0.54142	 47.42455
-0.55043	 47.42153
-0.56005	 47.41839
-0.57189	 47.41781
-0.57867	 47.41676
-0.61180	 47.41188
-0.61575	 47.40852
-0.62133	 47.40160
-0.62751	 47.39475
-0.63146	 47.38917
-0.63369	 47.38283
-0.63858	 47.37807
-0.64819	 47.37423
-0.65557	 47.37255
-0.66450	 47.36941
-0.66948	 47.36889
-0.67617	 47.36976
-0.68201	 47.36947
-0.69034	 47.36522
-0.71737	 47.36144
-0.72544	 47.35929
-0.73634	 47.35830
-0.74218	 47.35546
-0.75007	 47.35121
-0.75505	 47.35109
-0.76055	 47.35389
-0.76544	 47.35499
-0.77376	 47.35941
-0.79445	 47.36551
-0.81127	 47.37075
-0.81565	 47.37412
-0.82672	 47.37720
-0.83488	 47.38283
-0.84380	 47.38504
-0.85153	 47.38830
-0.85908	 47.39138
-0.86517	 47.39463
-0.87564	 47.39661
-0.88388	 47.39754
-0.89444	 47.39841
-0.90251	 47.40143
-0.90749	 47.40404
-0.92234	 47.40056
-0.93109	 47.39725
-0.93212	 47.39149
-0.93658	 47.38574
-0.94680	 47.38115
-0.96757	 47.37615
-0.97160	 47.37301
-0.97615	 47.37115
-0.98156	 47.37080
-0.98671	 47.37133
-0.99349	 47.36877
-0.99770	 47.36662
-1.00491	 47.36377
-1.01581	 47.36470
-1.02490	 47.36615
-1.03555	 47.36528
-1.04971	 47.36592
-1.06087	 47.36935
-1.07271	 47.37109
-1.07855	 47.37243
-1.08825	 47.36889
-1.09717	 47.36854
-1.10601	 47.36947
-1.11434	 47.36795
-1.12189	 47.36702
-1.13219	 47.36679
-1.14249	 47.37144
-1.14850	 47.37168
-1.15940	 47.36859
-1.17262	 47.36563
-1.18129	 47.36011
-1.19167	 47.35708
-1.20069	 47.35499
-1.21124	 47.35325
-1.22446	 47.35150
-1.23279	 47.34726
-1.24137	 47.34487
-1.25201	 47.34220
-1.25948	 47.34109
-1.27090	 47.34039
-1.28325	 47.34196
-1.30162	 47.33952
-1.30694	 47.33853
-1.31184	 47.33353
-1.31613	 47.33033
-1.32737	 47.32637
-1.33321	 47.32056
-1.33973	 47.31544
-1.34789	 47.30822
-1.35707	 47.30217
-1.37003	 47.29961
-1.37981	 47.29332
-1.38659	 47.28907
-1.39681	 47.28459
-1.40659	 47.27929
-1.41535	 47.27166
-1.42282	 47.26391
-1.43303	 47.25983
-1.44513	 47.25418
-1.45620	 47.24475
-1.47260	 47.23315
-1.48418	 47.22627
-1.50144	 47.22021
-1.51766	 47.21531
